#Overview of data in ClinVar by gene, dated October 7, 2023
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
A-GAMMA3'E	109951028	5	5	-	-	-	1	0
A1BG	1	45	45	25	-	138670	29	0
A1BG-AS1	503538	20	20	-	-	-	10	0
A1CF	29974	41	41	21	1	618199	19	0
A2M	2	100	96	62	-	103950	44	0
A2M-AS1	144571	11	11	-	-	-	1	0
A2ML1	144568	2070	1382	2028	2	610627	634	67
A3GALT2	127550	12	12	-	-	619850	2	0
A4GALT	53947	111	108	65	6	607922	41	0
A4GNT	51146	35	35	11	-	616709	13	0
AAAS	8086	312	208	300	39	605378	93	12
AACS	65985	65	65	42	-	614364	38	0
AADAC	13	44	42	18	-	600338	20	0
AADACL2	344752	30	30	10	-	-	11	0
AADACL2-AS1	101928142	47	45	-	-	-	36	0
AADACL3	126767	55	55	7	4	-	17	0
AADACL4	343066	65	65	18	1	-	26	0
AADAT	51166	59	59	3	-	611754	6	0
AAGAB	79719	117	93	87	17	614888	33	2
AAK1	22848	45	45	29	-	616405	31	0
AAMDC	28971	28	28	2	-	620474	19	0
AAMP	14	34	33	7	-	603488	9	0
AANAT	15	37	37	20	-	600950	16	0
AAR2	25980	23	23	12	1	617365	10	0
AARD	441376	57	57	3	-	-	5	0
AARS1	16	1723	1174	1670	26	601065	610	62
AARS2	57505	783	534	765	51	612035	221	40
AARSD1	80755	34	34	24	-	613212	25	0
AASDH	132949	61	59	35	-	614365	38	0
AASDHPPT	60496	41	41	16	-	607756	21	0
AASS	10157	190	175	158	17	605113	74	0
AATBC	284837	49	44	-	-	-	2	0
AATF	26574	168	159	30	-	608463	39	0
AATK	9625	111	111	86	-	605276	79	0
ABALON	103021294	7	7	-	-	616018	-	-
ABAT	18	874	737	785	30	137150	366	28
ABCA1	19	1977	1247	1927	39	600046	397	96
ABCA10	10349	77	77	58	1	612508	57	0
ABCA12	26154	713	510	676	79	607800	246	30
ABCA13	154664	261	260	232	2	607807	191	0
ABCA2	20	298	278	208	11	600047	141	1
ABCA3	21	1137	766	1089	53	601615	366	69
ABCA4	24	6622	3220	6568	1066	601691	904	286
ABCA5	23461	108	105	91	3	612503	58	0
ABCA6	23460	86	86	67	1	612504	66	0
ABCA7	10347	253	236	202	8	605414	119	7
ABCA8	10351	81	81	64	-	612505	57	0
ABCA9	10350	80	80	62	1	612507	62	0
ABCA9-AS1	104355297	6	6	-	-	-	3	0
ABCB1	5243	698	682	667	3	171050	32	0
ABCB10	23456	71	69	29	-	605454	29	0
ABCB11	8647	1666	1131	1629	169	603201	232	100
ABCB4	5244	887	520	837	94	171060	254	37
ABCB5	340273	90	90	52	-	611785	52	0
ABCB6	10058	224	162	188	7	605452	70	2
ABCB7	22	350	287	202	9	300135	46	3
ABCB8	11194	110	110	35	-	605464	31	0
ABCB9	23457	55	55	34	-	605453	35	0
ABCC1	4363	439	430	83	14	158343	181	0
ABCC10	89845	87	87	64	-	612509	73	0
ABCC11	85320	105	103	81	-	607040	61	0
ABCC12	94160	73	73	49	-	607041	45	0
ABCC2	1244	706	487	686	65	601107	260	42
ABCC3	8714	61	60	50	-	604323	36	0
ABCC4	10257	134	134	44	1	605250	41	0
ABCC5	10057	77	76	36	1	605251	35	0
ABCC5-AS1	100873982	18	18	-	1	-	1	0
ABCC6	368	2554	1658	2195	305	603234	693	28
ABCC8	6833	4354	1871	4330	277	600509	380	401
ABCC9	10060	2593	1488	2546	31	601439	670	72
ABCD1	215	2355	1477	2091	373	300371	369	86
ABCD2	225	39	39	18	-	601081	26	0
ABCD3	5825	95	89	81	1	170995	41	1
ABCD4	5826	516	398	491	15	603214	127	9
ABCE1	6059	44	44	11	-	601213	8	0
ABCF1	23	42	42	32	-	603429	29	0
ABCF2	10061	83	83	7	1	612510	14	0
ABCF2-H2BK1	114483834	42	42	7	1	-	8	0
ABCF3	55324	65	64	24	-	618967	25	0
ABCG1	9619	108	100	16	3	603076	16	0
ABCG2	9429	65	55	38	1	603756	15	1
ABCG4	64137	61	55	18	-	607784	21	0
ABCG5	64240	995	583	893	40	605459	284	45
ABCG8	64241	1155	638	1128	38	605460	292	70
ABHD1	84696	39	38	16	-	612195	21	0
ABHD10	55347	29	29	11	-	618756	10	0
ABHD11	83451	190	182	18	1	-	19	0
ABHD11-AS1	171022	171	163	-	-	612545	5	0
ABHD12	26090	677	528	631	45	613599	234	28
ABHD12B	145447	31	31	14	-	-	18	0
ABHD13	84945	115	115	8	-	-	15	0
ABHD14A	25864	27	27	13	-	618771	15	0
ABHD14A-ACY1	100526760	206	149	-	7	-	76	0
ABHD14B	84836	22	22	9	-	-	10	0
ABHD15	116236	38	38	24	-	619894	25	0
ABHD16A	7920	48	43	33	4	142620	27	0
ABHD16B	140701	77	75	26	-	620190	33	0
ABHD17A	81926	48	48	9	-	617942	17	0
ABHD17B	51104	52	52	4	-	617943	12	0
ABHD17C	58489	35	34	8	-	617944	14	0
ABHD18	80167	55	53	9	2	-	19	0
ABHD2	11057	55	53	14	1	612196	12	0
ABHD3	171586	51	49	13	-	612197	15	0
ABHD4	63874	35	35	8	-	619728	10	0
ABHD5	51099	325	287	316	23	604780	152	8
ABHD6	57406	23	23	10	-	616966	12	0
ABHD8	79575	31	31	13	-	-	18	0
ABI1	10006	33	31	8	1	603050	11	0
ABI2	10152	40	37	6	-	606442	8	0
ABI3	51225	32	32	17	-	606363	15	0
ABI3BP	25890	56	56	36	1	606279	34	0
ABITRAM	54942	49	49	2	-	620392	12	0
ABL1	25	491	420	421	46	189980	102	3
ABL2	27	56	55	27	1	164690	24	0
ABLIM1	3983	65	65	34	1	602330	37	0
ABLIM2	84448	110	110	35	-	612544	36	0
ABLIM3	22885	59	57	40	-	611305	39	0
ABO	28	83	86	31	-	110300	8	0
ABR	29	188	188	24	25	600365	51	0
ABR-AS1	105371479	38	38	-	-	-	3	0
ABRA	137735	73	73	30	-	609747	32	0
ABRACL	58527	20	20	4	-	-	6	0
ABRAXAS1	84142	945	689	900	1	611143	399	24
ABRAXAS2	23172	64	64	8	1	611144	10	0
ABT1	29777	25	25	12	-	618750	17	0
ABTB1	80325	46	45	29	-	608308	30	0
ABTB2	25841	84	84	50	2	-	54	0
ABTB3	121551	33	33	18	-	-	20	0
ACAA1	30	36	36	18	-	604054	23	0
ACAA2	10449	65	63	19	-	604770	22	0
ACACA	31	322	299	177	2	200350	84	1
ACACB	32	198	196	164	1	601557	115	1
ACAD10	80724	69	69	49	-	611181	49	0
ACAD11	84129	56	56	30	2	614288	38	0
ACAD8	27034	432	336	331	23	604773	123	20
ACAD9	28976	1095	765	1071	110	611103	189	40
ACAD9-DT	123706524	11	11	-	-	-	4	0
ACADL	33	60	55	28	-	609576	23	2
ACADM	34	1443	745	1413	239	607008	179	67
ACADS	35	692	398	672	71	606885	172	32
ACADSB	36	424	333	370	18	600301	140	17
ACADVL	37	3036	1589	2976	317	609575	565	138
ACAN	176	1184	829	1142	96	155760	357	23
ACAP1	9744	61	59	24	1	607763	31	0
ACAP2	23527	65	65	17	1	607766	25	0
ACAP3	116983	208	200	34	-	-	49	0
ACAT1	38	818	564	795	166	607809	129	22
ACAT2	39	55	54	25	1	100678	21	0
ACBD3	64746	53	52	14	1	606809	16	0
ACBD3-AS1	107985353	19	19	-	-	-	5	0
ACBD4	79777	31	31	14	-	619968	19	0
ACBD5	91452	438	398	389	18	616618	173	5
ACBD6	84320	146	119	9	8	616352	51	0
ACBD7	414149	26	26	5	-	-	3	0
ACBD7-DCLRE1CP1	108949267	27	27	-	-	-	16	0
ACCS	84680	47	47	23	-	608405	25	0
ACCSL	390110	47	47	23	-	-	26	0
ACD	65057	1350	1016	1314	3	609377	545	18
