gene_id	n_tissues_used	corr_domFrac_vs_logExpr	corr_entropy_vs_logExpr	median_gene_tpm	dominant_isoform_switch_range	isoform_entropy_range	n_isoforms
ENSG00000000003	52	-0.25796890524349175	0.11574614139327807	9.760000000000002	0.3756577302296311	0.6573729961978771	4
ENSG00000000005	7	-0.5899999314116935	0.6037868004854567	2.3899999999999997	0.23048805815160944	0.3407212407600725	2
ENSG00000000419	54	-0.17244651187080381	0.16043402623250672	30.1	0.12397746444998403	0.36872243326640797	6
ENSG00000000457	54	-0.6405546878129261	0.827929682258614	5.155	0.2895493767976989	0.6300189161093971	5
ENSG00000000460	37	-0.5467313029404524	0.6644908888459575	2.43	0.3699200134950869	0.647862509483127	9
ENSG00000000938	53	-0.5557228599735984	0.676151380958525	5.214999999999999	0.3183695892990169	0.6994156415169486	7
ENSG00000000971	52	-0.5931120951284775	0.5802430629914261	17.630000000000003	0.34560146983232765	0.36642065502069315	3
ENSG00000001036	54	0.26219402908706446	-0.264034537730857	16.82	0.31029446933038696	0.7003419200644978	3
ENSG00000001084	51	0.06768866873815053	0.03452855930515596	3.1550000000000002	0.41658520690778755	0.7965967800641616	7
ENSG00000001167	54	-0.5297121033029776	0.46889808436231534	8.1675	0.35383549809909076	0.5990194479478563	2
ENSG00000001460	51	-0.20909588989310013	0.12240934741053427	3.9099999089999997	0.4809784100015874	1.2925039040026332	12
ENSG00000001461	54	0.28102614051819447	-0.33609633668884015	7.190000100000001	0.5126622087416706	1.0159851126517523	7
ENSG00000001497	54	-0.3751464138372827	0.10595477701246502	24.512499999999996	0.37886876696400246	0.3994527275345321	5
ENSG00000001561	52			5.8625	0.0	0.0	1
ENSG00000001617	52	-0.6049341796276023	0.7022656341313942	9.205	0.38006853954310205	0.7745201275847542	7
ENSG00000001626	9	0.5209833817580047	-0.13980659308039345	3.71	0.3638640984551461	0.719134280227535	11
ENSG00000001629	53	-0.32470164422900694	0.3432977815987557	9.160000000000002	0.3366477272727273	0.9547403211825639	6
ENSG00000001630	54	-0.42873660222035165	0.45237991370891995	14.889999495000001	0.43404370110601564	0.8984775712039765	3
ENSG00000001631	53	-0.35655605910444405	0.7648921968419264	7.340000019999999	0.31316368944677975	0.8599578666660168	14
ENSG00000002016	53	-0.3036721078978166	0.5638467335538833	5.8999998	0.1819814939972762	0.6596160560697977	15
ENSG00000002330	54	-0.28000256918067196	0.3178473317603887	61.79499999999999	0.13082098177603818	0.48926431606016607	6
ENSG00000002549	54	0.02101019896667415	-0.04524009936483794	33.405	0.32044146329860623	0.6564747029602924	8
ENSG00000002586	54	0.11811873260710996	0.18404781036738613	175.64999999999998	0.21324230719439474	0.680076169790058	11
ENSG00000002587	22	-0.03484642997968156	-0.02085932158563556	2.325	0.4504285682231247	0.6977165521275047	3
