RBP	AUROC	n_pos	thr99	sens_at_thr
FKBP4	0.975	204	0.9989	0.441
ELAC2	0.972	918	0.9957	0.253
NKRF	0.966	596	0.9996	0.388
TARDBP	0.96	993	0.9967	0.202
XRN2	0.958	263	0.9991	0.411
PRPF4	0.956	733	0.9995	0.351
GEMIN5	0.953	500	0.9997	0.47
DDX3X	0.952	1079	0.9993	0.486
AKAP8L	0.95	517	0.9991	0.253
EWSR1	0.947	1009	0.9996	0.276
TRA2A	0.947	312	0.9971	0.41
DDX1	0.944	801	0.9995	0.245
NONO	0.942	949	0.9996	0.277
PPIG	0.941	907	0.9993	0.387
RPS6	0.94	1099	0.9992	0.341
FTO	0.939	711	0.9996	0.377
EIF4G2	0.939	899	0.9991	0.204
GTF2F1	0.938	1045	0.9993	0.306
SRSF1	0.938	1033	0.9982	0.39
METAP2	0.937	622	0.9994	0.333
SLTM	0.935	858	0.9996	0.234
FMR1	0.931	977	0.9995	0.349
PHF6	0.93	957	0.9998	0.263
RPS3	0.929	507	0.9995	0.314
PABPN1	0.928	809	0.9995	0.303
DDX43	0.926	1061	0.9988	0.345
HNRNPM	0.924	783	0.999	0.152
NIP7	0.923	839	0.9994	0.285
PCBP1	0.922	880	0.9994	0.155
EIF4E	0.921	986	0.9995	0.487
MORC2	0.92	892	0.9994	0.257
DDX24	0.917	1261	0.9997	0.264
DROSHA	0.916	748	0.9996	0.32
RBM15	0.915	1087	0.9995	0.243
DDX51	0.912	967	0.9998	0.245
PUM1	0.91	948	0.9995	0.295
U2AF1	0.91	212	0.9988	0.179
UCHL5	0.909	955	0.9992	0.295
CSTF2T	0.909	927	0.9995	0.233
DDX52	0.908	904	0.9994	0.197
SDAD1	0.908	824	0.9994	0.254
ZNF622	0.907	1092	0.998	0.261
SF3A3	0.906	318	0.9989	0.201
FXR2	0.906	946	0.9993	0.288
EIF3H	0.905	553	0.9996	0.203
FUS	0.904	752	0.9995	0.178
KHDRBS1	0.903	267	0.145	0.232
APEX1	0.901	1055	0.9996	0.245
