transcript_id	gene_id	chr	start	end	strand	biotype	gene_biotype	has_cds	label	length
transcript:ENST00000612848		KI270721.1	2585	11802	+	protein_coding	protein_coding	True	1	1202
transcript:ENST00000361390		MT	3307	4262	+	protein_coding	protein_coding	True	1	1912
transcript:ENST00000361453		MT	4470	5511	+	protein_coding	protein_coding	True	1	2084
transcript:ENST00000614336		KI270711.1	4612	24650	-	protein_coding	protein_coding	True	1	5540
transcript:ENST00000361624		MT	5904	7445	+	protein_coding	protein_coding	True	1	3084
transcript:ENST00000612640		KI270711.1	6101	29626	-	protein_coding	protein_coding	True	1	4135
transcript:ENST00000361739		MT	7586	8269	+	protein_coding	protein_coding	True	1	1368
transcript:ENST00000361851		MT	8366	8572	+	protein_coding	protein_coding	True	1	414
transcript:ENST00000361899		MT	8527	9207	+	protein_coding	protein_coding	True	1	1362
transcript:ENST00000362079		MT	9207	9990	+	protein_coding	protein_coding	True	1	1568
transcript:ENST00000361227		MT	10059	10404	+	protein_coding	protein_coding	True	1	692
transcript:ENST00000361335		MT	10470	10766	+	protein_coding	protein_coding	True	1	594
transcript:ENST00000619792		KI270731.1	10598	13001	-	protein_coding	protein_coding	True	1	3691
transcript:ENST00000361381		MT	10760	12137	+	protein_coding	protein_coding	True	1	2756
transcript:ENST00000361567		MT	12337	14148	+	protein_coding	protein_coding	True	1	3624
transcript:ENST00000361681		MT	14149	14673	-	protein_coding	protein_coding	True	1	1050
transcript:ENST00000442898		9	14475	29739	-	protein_coding	protein_coding	True	1	3271
transcript:ENST00000696149		9	14513	29456	-	protein_coding	protein_coding	True	1	3240
transcript:ENST00000361789		MT	14747	15887	+	protein_coding	protein_coding	True	1	2282
transcript:ENST00000696150		9	15909	29587	-	protein_coding_CDS_not_defined	protein_coding	False	1	1459
transcript:ENST00000696151		9	16561	29584	-	nonsense_mediated_decay	protein_coding	True	1	1617
transcript:ENST00000616638		KI270728.1	17234	19833	+	protein_coding	protein_coding	True	1	2115
transcript:ENST00000642633		9	24892	73865	-	protein_coding	protein_coding	True	1	664
